name_adress,house,flat,sqrt_m,number_date,
"10-этажный дом, г. Калиниград, ул. Крейсерская, д. 2                                                                                                            ООО ""СЗ ""ЕВРОГРУПП ДЕВЕЛОПМЕНТ ПЛЮС""",1,158,7138,№ 39-15-012-2022                           от 14.09.2022,
"5-этажный дом, г. Калиниград, ул. Чайковского, д. 70                                                                                                            ООО ""Юни Трейд""",1,24,2085,№ 39-15-015-2022                           от 14.09.2022,
"10-этажный дом, г. Калиниград, ул. Понартская, д. 16                                                                                              ООО ""СЗ ""Феникс""",1,116,5197,№ 39-15-041-2022                           от 28.09.2022,
"10-этажный дом, г. Калиниград, ул. Понартская, д. 15                                                                                                            ООО ""СЗ ""Витязь""",1,158,7657,№ 39-15-050-2022                                      от 05.10.2022,
"9-этажный дом, г. Калиниград, ул. Мирная д. 1, корпус 4                                                                                                            ООО ""МОСДОРСТРОЙ""",1,143,7933,№ 39-15-059-2022                                     от 11.10.2022,
"10-этажный дом, г. Калиниград, ул. Суздальская д. 22,                                                                                                            ООО ""СЗ""ФАВОРИТ""",1,180,8612,№ 39-15-071-2022                                     от 13.10.2022,
"16-этажный дом, г. Калиниград, ул. Батальная д. 100,                                                                                                            ООО ""СЗ""СОДРУЖЕСТВО ИНВЕСТ""",1,255,9187,№ 39-15-093-2022                                     от 21.10.2022,
"9-этажный дом, г. Калининград, ул. Куйбышева, д. 27Б                                                                                               ООО ""СЗ ""СОЮЗ""",1,97,5967,№ 39-15-113-2022                                        от 01.11.2022,
"10-этажный дом, г. Калининград, ул. Флагманская, д. 3                                                                              ООО ""СЗ ""БУХТА ТАРАН""",1,136,6254,№ 39-15-131-2022                                        от 07.11.2022,
"9-10-этажный дом, г. Калининград, ул. Орудийная, д. 1А                                                                    ЖСК ""Гагаринский""",1,222,15764,№ 39-15-149-2022                                        от 18.11.2022,
"4-этажный дом, г. Калининград, пр-кт Победы, д. 251                                                                     Козленков А.Ю.",1,12,976,№ 39-15-157-2022                                        от 22.11.2022,
"4-этажный дом г. Калининград, ул. Вагоностроительная, д. 3 А                                                        ООО ""СЗ Рекстрой Инвест""",1,64,5577,№ 39-15-158-2022                                        от 24.11.2022,
"16-этажный дом г. Калининград, ул. Батальная, д. 100                                                                 ООО ""СЗ ""Содружество Инвест""",1,223,8760,№ 39-15-174-2022                                        от 30.11.2022,
"9-этажный дом, г. Калининград, бульвар Солнечный, д. 33, корпус 1                                                                                               ФОНД ПРОЕКТОВ СОЦИАЛЬНОГО НАЗНАЧЕНИЯ ""НАЦИОНАЛЬНОЕ КУЛЬТУРНОЕ НАСЛЕДИЕ""",1,74,3631,№ 39-15-175-2022                                        от 01.12.2022,
"9-этажный дом, г. Калининград, бульвар Солнечный, д. 33, корпус 2                                                                                               ФОНД ПРОЕКТОВ СОЦИАЛЬНОГО НАЗНАЧЕНИЯ ""НАЦИОНАЛЬНОЕ КУЛЬТУРНОЕ НАСЛЕДИЕ""",1,79,3828,№ 39-15-176-2022                                        от 01.12.2022,
"9-этажный дом, г. Калининград, бульвар Солнечный, д. 33, корпус 3                                                                                               ФОНД ПРОЕКТОВ СОЦИАЛЬНОГО НАЗНАЧЕНИЯ ""НАЦИОНАЛЬНОЕ КУЛЬТУРНОЕ НАСЛЕДИЕ""",1,81,3889,№ 39-15-177-2022                                        от 01.12.2022,
"9-этажный дом, г. Калининград, бульвар Солнечный, д. 33, корпус 4                                                                                               ФОНД ПРОЕКТОВ СОЦИАЛЬНОГО НАЗНАЧЕНИЯ ""НАЦИОНАЛЬНОЕ КУЛЬТУРНОЕ НАСЛЕДИЕ""",1,81,3833,№ 39-15-178-2022                                        от 01.12.2022,
"9-этажный дом, г. Калининград, бульвар Солнечный, д. 33, корпус 5                                                                                               ФОНД ПРОЕКТОВ СОЦИАЛЬНОГО НАЗНАЧЕНИЯ ""НАЦИОНАЛЬНОЕ КУЛЬТУРНОЕ НАСЛЕДИЕ""",1,72,3532,№ 39-15-179-2022                                        от 01.12.2022,
"9-этажный дом, г. Калининград, бульвар Солнечный, д. 33, корпус 5                                                                                               ФОНД ПРОЕКТОВ СОЦИАЛЬНОГО НАЗНАЧЕНИЯ ""НАЦИОНАЛЬНОЕ КУЛЬТУРНОЕ НАСЛЕДИЕ"" ОБЩЕЖИТИЕ",1,,1190,№ 39-15-295-2022                                        от 23.12.2022,
"12-этажный дом, г. Калининград, ул. Маршала Борзова, д. 109                                                                                               ООО ""СЗ""НИКИНВЕСТ-СТРОЙ""",1,249,16656,№ 39-15-197-2022                                        от 02.12.2022,
"дом, г. Калининград, ул. Земельная, д. 30                                                                               ООО ""СЗ ""Саламандра""",1,64,3761,№ 39-15-214-2022                                        от 05.12.2022,
"9-этажный дом, г. Калининград, ул. Арсенальная, д. 29                                                                        АО ""СЗ ""Конкорд""",1,159,9040,№ 39-15-215-2022                                        от 06.12.2022,
"10-этажный дом, г. Калининград, ул. Флагманская, д. 3                                                                                               ООО ""СЗ""БУХТА ТАРАН""",0,136,6058,№ 39-15-218-2022                                        от 07.12.2022,
"8-этажный дом, г. Калининград, ул. Куйбышева, д. 84                                                                             АО ""СЗ ""Лидер""",1,159,8881,№ 39-15-219-2022                                        от 07.12.2022,
"10-этажный дом, г. Калининград, ул. Тихорецкая, д. 22Б                                                                                               ООО ""СЗ""КАЛИНИНГРАДИНВЕСТСТРОЙ""",0,76,3569,№ 39-15-237-2022                                        от 13.12.2022,
"5-этажный дом, г. Калининград, ул. Поселковая     Этап 1                                                                                          ООО ""СЗ""ОТК ИНВЕСТ""",1,32,1773,№ 39-15-238-2022                                        от 13.12.2022,
"5-этажный дом, г. Калининград, ул. Поселковая     Этап 2                                                                                          ООО ""СЗ""ОТК ИНВЕСТ""",,32,1912,№ 39-15-239-2022                                        от 13.12.2022,
"9-этажный дом, г. Калининград, ул. Арсенальная, д. 31, корп.1                                                                        АО ""СЗ ""РИА""",1,79,4767,№ 39-15-262-2022                                        от 16.12.2022,
"8-этажный дом, г. Калининград, ул. Большая Окружная 3-я, д. 243                                                                         ООО ""СЗ ""НСВ Инвест""",1,161,9334,№ 39-15-281-2022                                        от 21.12.2022,
"16-этажный дом, г. Калининград, ул. Б.Хмельницкого, д. 50                                                                         ООО ""БАЛТИК-СИТИ""",1,110,7829,№ 39-15-298-2022                                        от 27.12.2022,
в т.ч. жилые дома блокированной застройки:,90,90,14059,,
Багратионовский муниципальный округ,0,0,0,,
Балтийский городской округ,0,0,0,,
Гвардейский муниципальный округ,5,5,720,,
в т.ч. жилые дома блокированной застройки:,5,5,720,,
Гурьевский муниципальный округ,208,1075,58370,,
многоквартирные дома:,22,889,39471,,
"3-этажный 10-квартирный (проч.мат.) дом, пос. Малое Васильково, ул. Васильковая, д. 5
Снегур А.А., Ванина И.С. ЭКОНОМ",1,10,826,"№ 39-RU39310000-637-2021
от 22.03.2022",
"4-этажный 11-квартирный (проч.мат.) дом, пос. Малое Васильково, ул. Васильковая, д.6
Снегур А.А., Ванина И.С. ЭКОНОМ",1,11,905,,
"3-этажный (проч.мат.) дом, Гурьевский р-он, пос.Шоссейное, ул.Калининградское шоссе, д.24А, Гущин П.Ю.",1,27,966,"№ 39-RU39310000-200-2020
от 11.04.2022",
"3-этажный (проч.мат.) дом, Гурьевский р-он, пос.Шоссейное, ул.Калининградское шоссе, д.24А,корпус 1, Гущин П.Ю.",1,27,974,,
"3-этажный (проч.мат.) дом, пос.Ласкино,ул.Осенняя, д.2, ГП 4,корпус 3, Гурьевский р-он
ООО ""Новое Ласкино""",1,48,1573,"№ 39-RU39310000-140-2020
от 07.04.2022",
"3-этажный (проч.мат.) дом, пос.Ласкино,ул.Осенняя, д.2, ГП 5,корпус 2, Гурьевский р-он
ООО ""Новое Ласкино""",1,48,1576,,
"3-этажный (проч.мат.) дом, пос.Ласкино,ул.Осенняя, д.2, ГП 7,корпус 1, Гурьевский р-он
ООО ""Новое Ласкино""",1,48,1565,,
"3-этажный (проч.мат.) дом, пос.Ласкино,ул.Осенняя, д.2, ГП 8, Гурьевский р-он
ООО ""Новое Ласкино""",1,48,1573,,
"Многоквартирный дом (кирпич), г. Гурьевск, ул. Каштановая, д. 6-реконструкция квартир № 18,20         Марьина В.В.",0,0,0,"№ 39-RU39310000-761-2016
от 12.05.2022",
"5-этажный 70-квартирный (проч.мат.) дом в  пос. Малое Исаково,  ул. Калининградская, д. 12Б                         ООО ""Элитстройтрест"" ",1,70,2637,"№ 39-RU39310000-430-2020
от 09.06.2022",
"5-этажный 32-квартирный (проч.мат) дом, Гурьвский муниципальный округ, поселок Прибрежное, ул.Южное полукольцо, д.6, корп. 1                                                                                                              ООО ""СЗ ""ВН""",1,32,1376,№ 39-RU39301000-240-2020                          от 18.07.2022,
"5-этажный 32-квартирный (проч.мат) дом, Гурьвский муниципальный округ, поселок Прибрежное, ул.Южное полукольцо, д.6, корп. 2                                                                         ООО ""СЗ ""ВН""",1,32,1378,,
"3-этажный (проч.мат.) дом, пос. Невское, ул. Петропавловская, д.2Б                                                                                                             ООО ""Центр Долевого Строительства""",1,24,1181,№ 39-RU39303000-139-2017          от 15.08.2022,
"3-этажный дом, Гурьевский Городской Округ, пос. Ласкино ул.Осенняя, д. 2, корпус 4                                                                                                                              ООО ""НОВОЕ ЛАСКИНО""",1,48,1575,№ 39-03-098-2022                                      от 25.10.2022,
"3-этажный дом, Гурьевский Городской Округ, пос. Ласкино ул.Осенняя, д. 2, корпус 5                                                                                                                          ООО ""НОВОЕ ЛАСКИНО""",1,48,1574,,
"3-этажный дом, Гурьевский Городской Округ, пос. Ласкино ул.Осенняя, д. 2, корпус 6                                                                                                                          ООО ""НОВОЕ ЛАСКИНО""",1,27,1148,,
"3-этажный дом, Гурьевский Городской Округ, пос. Ласкино ул.Осенняя, д. 2, корпус 7                                                                                                                          ООО ""НОВОЕ ЛАСКИНО""",1,27,1148,,
