name_adress,house,flat,sqrt_m,number_date,
"Комплекс многоквартирных домов по ул. Ольховая в г. Светлогорске Калининградской области. Жилые дома  №2 (I этап)                                                                                                             ООО ""СЗ ""КСК-СТРОЙ""",1,24,1316,,
"6-этажный дом, Светлогорский г.о., ул. Яблоневая, д.17, корпус 3                                                                                                             ООО ""СЗ ""ТВОЯ НЕДВИЖИМОСТЬ""",1,30,1761,№ 39-RU39329000-071-2021                           от 15.08.2022,
"5-этажный (проч.мат.) дом, г. Светлогорск, ул. Ольховая, д. № 3                                           ООО ""СЗ ""КСК-Строй""",1,24,1319,№ 39-RU39329000-122-2020                           от 15.08.2022,
"5-этажный (проч.мат.) дом, г. Светлогорск, ул. Ольховая, д. № 4                                           ООО ""СЗ ""КСК-Строй""",1,24,1322,,
"7-этажный  дом, г. Светлогорск, Калининградский проспект, д. 10А                                                                                                            ООО ""СЗ ""ОСТ-СТРОЙ""",1,28,1058,№ 39-17-040-2022                           от 22.09.2022,
"7-этажный дом, г. Светлогорск, ул. Молодежная, д. 1                                                                                    ООО ""СЗ ""ОСТ-Строй""",1,105,3438,№ 39-17-285-2022                                        от 22.12.2022,
в т.ч. жилые дома блокированной застройки:,6,6,756,,
Славский муниципальный округ,0,0,0,,
Советский городской округ,0,0,0,,
Черняховский муниципальный округ,0,0,0,,
Янтарный городской округ,2,85,3736,,
многоквартирные дома:,2,85,3736,,
"4-этажный 34-квартирный (проч.мат.) дом, пос.Янтарный, ул. Балебина, д.5 (1 этап)
ООО ""Эталон-Вест"" ЭКОНОМ",1,34,1473,"№ 39-RU39319000-256-2020
от 21.03.2022",
"4-этажный 51-квартирный (проч.мат) дом №1, пгт Янтарный, ул.Балебина, д.15А                                                                                                              ООО ""СЗ ""ЭТАЛОН-ВЕСТ""",1,51,2263,,
